Pokemon,Color
smoochum,pink
elekid,yellow
magby,red
miltank,pink
blissey,pink
raikou,yellow
entei,brown
suicune,blue
larvitar,green
pupitar,gray
tyranitar,green
tyranitar-mega,green
lugia,white
ho-oh,red
celebi,green
treecko,green
grovyle,green
sceptile,green
sceptile-mega,green
torchic,red
combusken,red
blaziken,red
blaziken-mega,red
mudkip,blue
marshtomp,blue
swampert,blue
swampert-mega,blue
poochyena,gray
mightyena,gray
zigzagoon,brown
zigzagoon-galar,white
linoone,white
linoone-galar,white
wurmple,red
silcoon,white
beautifly,yellow
cascoon,purple
dustox,green
lotad,green
lombre,green
ludicolo,green
seedot,brown
nuzleaf,brown
shiftry,brown
taillow,blue
swellow,blue
wingull,white
pelipper,yellow
ralts,white
kirlia,white
gardevoir,white
gardevoir-mega,white
surskit,blue
masquerain,blue
shroomish,brown
breloom,green
slakoth,brown
vigoroth,white
slaking,brown
nincada,gray
ninjask,yellow
shedinja,brown
whismur,pink
loudred,blue
exploud,blue
makuhita,yellow
hariyama,brown
azurill,blue
nosepass,gray
skitty,pink
delcatty,purple
sableye,purple
sableye-mega,purple
mawile,black
mawile-mega,black
aron,gray
lairon,gray
aggron,gray
aggron-mega,gray
meditite,blue
medicham,red
medicham-mega,red
electrike,green
manectric,yellow
manetric-mega,yellow
plusle,yellow
minun,yellow
volbeat,gray
illumise,purple
roselia,green
gulpin,green
swalot,purple
carvanha,red
sharpedo,blue
sharpedo-mega,blue
wailmer,blue
wailord,blue
numel,yellow
camerupt,red
camerupt-mega,red
torkoal,brown
spoink,black
grumpig,purple
spinda,brown
trapinch,brown
vibrava,green
flygon,green
cacnea,green
cacturne,green
swablu,blue
altaria,blue
altaria-mega,blue
zangoose,white
seviper,black
lunatone,yellow
solrock,red
barboach,gray
whiscash,blue
corphish,red
crawdaunt,red
baltoy,brown
claydol,black
lileep,purple
cradily,green
anorith,gray
armaldo,gray
feebas,brown
milotic,pink
castform-normal,gray
castform-rainy,blue
castform-snowy,white
castform-sunny,red
kecleon,green
shuppet,black
banette,black
banette-mega,black
duskull,black
dusclops,black
tropius,green
chimecho,blue
absol,white
absol-mega,white
wynaut,blue
snorunt,gray
glalie,gray
glalie-mega,gray
spheal,blue
sealeo,blue
walrein,blue
clamperl,blue
huntail,blue
gorebyss,pink
relicanth,gray
luvdisc,pink
bagon,blue
shelgon,white
salamence,blue
salamence-mega,blue
beldum,blue
metang,blue
metagross,blue
metagross-mega,blue
regirock,brown
regice,blue
registeel,gray
latias,red
latias,purple
latios,blue
latios,purple
kyogre,blue
kyogre-primal,blue
groudon,red
groudon-primal,red
rayquaza,green
rayquaza,green
jirachi,yellow
deoxys-normal,red
deoxys-attack,red
deoxys-defense,red
deoxys-speed,red
turtwig,green
grotle,green
torterra,green
chimchar,brown
monferno,brown
infernape,brown
piplup,blue
prinplup,blue
empoleon,blue
starly,brown
staravia,brown
staraptor,brown
bidoof,brown
bibarel,brown
kricketot,red
kricketune,red
shinx,blue
luxio,blue
luxray,blue
budew,green
roserade,green
cranidos,blue
rampardos,blue
shieldon,gray
bastiodon,gray
burmy-plant,green
burmy-sandy,brown
burmy-trash,red
wormadam-plant,green
wormadam-sandy,brown
wormadam-trash,red
mothim,yellow
combee,yellow
vespiquen,yellow
pachirisu,white
buizel,brown
floatzel,brown
cherubi,pink
cherrim-overcast,purple
cherrim-sunshine,pink
shellos-east,blue
shellos-west,purple
gastrodon-east,blue
gastrodon-west,purple
ambipom,purple
drifloon,purple
drifblim,purple
buneary,brown
lopunny,brown
lopunny-mega,brown
mismagius,purple
honchkrow,black
glameow,gray
purugly,gray
chingling,yellow
stunky,purple
skuntank,purple
bronzor,green
bronzong,green
bonsly,brown
mime-jr,pink
happiny,pink
chatot,black
spiritomb,purple
gible,blue
gabite,blue
garchomp,blue
garchomp-mega,blue
munchlax,black
riolu,blue
lucario,blue
lucario-mega,blue
hippopotas,brown
hippowdon,brown
skorupi,purple
drapion,purple
croagunk,blue
toxicroak,blue
carnivine,green
finneon,blue
lumineon,blue
mantyke,blue
snover,white
abomasnow,white
abomasnow-mega,white
weavile,black
magnezone,gray
lickilicky,pink
rhyperior,gray
tangrowth,blue
electivire,yellow
magmortar,red
togekiss,white
yanmega,green
leafeon,green
glaceon,blue
gliscor,purple
mamoswine,brown
porygon-z,red
gallade,white
gallade-mega,white
probopass,gray
dusknoir,black
froslass,white
rotom,red
rotom-heat,red
rotom-wash,red
rotom-frost,red
rotom-fan,red
rotom-mow,red
uxie,yellow
mesprit,pink
azelf,blue
dialga-altered,white
dialga-origin,white
palkia-altered,purple
palkia-origin,purple
heatran,brown
regigigas,white
giratina-altered,black
giratina-origin,black
cresselia,yellow
phione,blue
manaphy,blue
darkrai,black
shaymin-land,green
shaymin-sky,green
arceus,white
victini,yellow
snivy,green
servine,green
serperior,green
tepig,red
pignite,red
emboar,red
oshawott,blue
dewott,blue
samurott,blue
samurott-hisui,blue
patrat,brown
watchog,brown
lillipup,brown
herdier,gray
stoutland,gray
purrloin,purple
liepard,purple
pansage,green
simisage,green
pansear,red
simisear,red
panpour,blue
simipour,blue
munna,pink
musharna,pink
pidove,gray
tranquill,gray
unfezant,gray
blitzle,black
zebstrika,black
roggenrola,blue
boldore,blue
gigalith,blue
woobat,blue
swoobat,blue
drilbur,gray
excadrill,gray
audino,pink
audino-mega,white
timburr,gray
gurdurr,gray
conkeldurr,brown
tympole,blue
palpitoad,blue
seismitoad,blue
throh,red
sawk,blue
sewaddle,yellow
swadloon,green
leavanny,yellow
venipede,red
whirlipede,gray
scolipede,red
cottonee,green
whimsicott,green
petilil,green
lilligant,green
lilligant-hisui,green
basculin-red-striped,green
basculin-blue-striped,green
basculin-hisui,green
sandile,brown
krokorok,brown
krookodile,red
darumaka,red
darumaka-galar,white
darmanitan,red
darmanitan-zen-mode,blue
darmanitan-galar,white
"darmanitan-galar,-zen-mode",white
maractus,green
dwebble,red
crustle,red
scraggy,yellow
scrafty,red
sigilyph,black
yamask,black
yamask-galar,black
cofagrigus,yellow
tirtouga,blue
carracosta,blue
archen,yellow
archeops,yellow
trubbish,green
garbodor,green
zorua,gray
zorua-hisui,gray
zoroark,gray
zoroark-hisui,gray
minccino,gray
cinccino,gray
gothita,purple
gothorita,purple
gothitelle,purple
solosis,green
duosion,green
reuniclus,green
ducklett,blue
swanna,white
vanillite,white
vanillish,white
vanilluxe,white
deerling-spring,pink
deerling-summer,green
deerling-autumn,red
deerling-winter,brown
sawsbuck,brown
emolga,white
karrablast,blue
escavalier,gray
foongus,white
amoonguss,white
frillish,white
jellicent,white
alomomola,pink
joltik,yellow
galvantula,yellow
ferroseed,gray
ferrothorn,gray
klink,gray
klang,gray
klinklang,gray
tynamo,white
eelektrik,blue
eelektross,blue
elgyem,blue
beheeyem,brown
litwick,white
lampent,black
chandelure,black
axew,green
fraxure,green
haxorus,yellow
cubchoo,white
beartic,white
cryogonal,blue
shelmet,red
accelgor,red
stunfisk,brown
stunfisk-galar,green
mienfoo,yellow
mienshao,purple
druddigon,red
golett,green
golurk,green
pawniard,red
bisharp,red
bouffalant,brown
rufflet,white
braviary,red
braviary-hisui,white
vullaby,brown
mandibuzz,brown
heatmor,red
durant,gray
deino,blue
zweilous,blue
hydreigon,blue
larvesta,white
volcarona,white
cobalion,blue
terrakion,gray
virizion,green
tornadus-incarnate,green
tornadus-therian,green
thundurus-incarnate,blue
thundurus-therian,blue
reshiram,white
zekrom,black
landorus-incarnate,brown
landorus-therian,brown
kyurem,gray
kyurem-black,gray
kyurem-white,gray
keldeo,yellow
meloetta-aria,white
meloetta-pirouette,white
genesect,purple
chespin,green
quilladin,green
chesnaught,green
fennekin,red
braixen,red
delphox,red
froakie,blue
frogadier,blue
greninja,blue
ash-greninja,blue
bunnelby,brown
diggersby,brown
fletchling,red
fletchinder,red
talonflame,red
scatterbug,black
spewpa,black
vivillon-meadow/fancy,pink
vivillon-polar/tundra/marine,blue
vivillon-continental,yellow
vivillon-garden/savanna/jungle,green
vivillon-elegant,purple
vivillon-icy-snow,white
vivillon-mod/sun/ocean/poke-ball,red
vivillon-hipl/ss/arch/riv,brown
vivillon-monsoon,gray
litleo,brown
pyroar,brown
flabébé,white
floette,white
florges,white
skiddo,brown
gogoat,brown
pancham,white
pangoro,white
furfrou,white
espurr,gray
meowstic-female,white
meowstic-male,blue
honedge,brown
doublade,brown
aegislash-shield,brown
aegislash-blade,brown
spritzee,pink
aromatisse,pink
swirlix,white
slurpuff,white
inkay,blue
malamar,blue
binacle,brown
barbaracle,brown
skrelp,brown
dragalge,brown
clauncher,blue
clawitzer,blue
helioptile,yellow
heliolisk,yellow
tyrunt,brown
tyrantrum,red
amaura,blue
aurorus,blue
sylveon,pink
hawlucha,green
dedenne,yellow
carbink,gray
goomy,purple
sliggoo,purple
sliggoo-hisui,purple
goodra,purple
goodra-hisui,purple
klefki,gray
phantump,brown
trevenant,brown
pumpkaboo-small,brown
pumpkaboo-average,brown
pumpkaboo-large,brown
pumpkaboo-super-size,brown
gourgeist-small,brown
gourgeist-average,brown
gourgeist-large,brown
gourgeist-super-size,brown
bergmite,blue
avalugg,blue
avalugg-hisui,blue
noibat,purple
noivern,purple
xerneas,blue
yveltal,red
zygarde-10%,black
zygarde-50%,green
zygarde-complete,black
diancie,pink
diancie-mega,pink
hoopa-confined,purple
hoopa-unbound,purple
volcanion,brown
rowlet,brown
dartrix,brown
decidueye,brown
decidueye-hisui,brown
litten,red
torracat,red
incineroar,red
popplio,blue
brionne,blue
primarina,blue
pikipek,black
trumbeak,black
toucannon,black
yungoos,brown
gumshoos,brown
grubbin,gray
charjabug,green
vikavolt,blue
crabrawler,purple
crabominable,white
oricorio-baile,red
oricorio-pau,pink
oricorio-pom-pom,yellow
oricorio-sensu,purple
cutiefly,yellow
ribombee,yellow
rockruff,brown
rockruff-own-tempo,brown
lycanroc-midday,brown
lycanroc-midnight,red
lycanroc-dusk,brown
wishiwashi-solo,blue
wishiwashi-school,blue
mareanie,blue
toxapex,blue
mudbray,brown
mudsdale,brown
dewpider,green
araquanid,green
fomantis,pink
lurantis,pink
morelull,purple
shiinotic,purple
salandit,black
salazzle,black
stufful,pink
bewear,pink
bounsweet,purple
steenee,purple
tsareena,purple
comfey,green
oranguru,white
passimian,white
wimpod,gray
golisopod,gray
sandygast,brown
palossand,brown
pyukumuku,black
type-null,gray
silvally,gray
minior-meteor,brown
minior-red,red
minior-orange,red
minior-yellow,yellow
minior-green,green
minior-blue,blue
minior-indigo,blue
minior-violet,purple
komala,blue
turtonator,red
togedemaru,gray
mimikyu,yellow
bruxish,pink
drampa,white
dhelmise,green
jangmo-o,gray
hakamo-o,gray
kommo-o,gray
tapu-koko,yellow
tapu-lele,pink
tapu-bulu,red
tapu-fini,purple
cosmog,blue
cosmoem,blue
solgaleo,white
lunala,purple
nihilego,white
buzzwole,red
pheromosa,white
xurkitree,black
celesteela,green
kartana,white
guzzlord,black
necrozma,black
necrozma-dusk,yellow
necrozma-dawn,blue
necrozma-ultra,yellow
magearna,gray
magearna-original-color,red
marshadow,gray
poipole,purple
naganadel,purple
stakataka,gray
blacephalon,white
zeraora,yellow
meltan,gray
melmetal,gray
grookey,green
thwackey,green
rillaboom,green
scorbunny,white
raboot,gray
cinderace,white
sobble,blue
drizzile,blue
inteleon,blue
skwovet,brown
greedent,brown
rookidee,blue
corvisquire,blue
corviknight,purple
blipbug,blue
dottler,yellow
orbeetle,red
nickit,brown
thievul,brown
gossifleur,green
eldegoss,green
wooloo,white
dubwool,white
chewtle,green
drednaw,green
yamper,yellow
boltund,yellow
rolycoly,black
carkol,black
coalossal,black
applin,green
flapple,green
appletun,green
silicobra,green
sandaconda,green
cramorant,blue
arrokuda,brown
barraskewda,brown
toxel,purple
toxtricity-amped,purple
toxtricity-low-key,purple
sizzlipede,red
centiskorch,red
clobbopus,brown
grapploct,blue
sinistea,purple
polteageist,purple
hatenna,pink
hattrem,pink
hatterene,pink
impidimp,pink
morgrem,pink
grimmsnarl,purple
obstagoon,gray
perrserker,brown
cursola,white
sirfetch'd,white
mr-rime,purple
runerigus,gray
milcery,white
alcremie-vacr/sacr,white
alcremie-rucr,pink
alcremie-macr,green
alcremie-micr,blue
alcremie-lecr/rusw/rasw,yellow
alcremie-casw,brown
alcremie,white
falinks,yellow
pincurchin,purple
snom,white
frosmoth,white
stonjourner,gray
eiscue-ice-face,blue
eiscue-no-ice-face,blue
indeedee-male,purple
indeedee-female,purple
morpeko-full-belly,yellow
morpeko-hangry,purple
cufant,yellow
copperajah,green
dracozolt,green
arctozolt,blue
dracovish,green
arctovish,blue
duraludon,white
dreepy,green
drakloak,green
dragapult,green
zacian-hero,blue
zacian-crowned,blue
zamazenta-hero,red
zamazenta-crowned,red
eternatus,purple
kubfu,gray
urshifu-single-strike,gray
urshifu-rapid-strike,gray
zarude,black
regieleki,yellow
regidrago,green
glastrier,white
spectrier,black
calyrex,green
calyrex-ice-rider,white
calyrex-shadow-rider,black
wyrdeer,gray
kleavor,brown
ursaluna,brown
basculegion-male,green
basculegion-female,green
sneasler,blue
overqwil,black
enamorus-incarnate,pink
enamorus-therian,pink
sprigatito,green
floragato,green
meowscarada,green
fuecoco,red
crocalor,red
skeledirge,red
quaxly,white
quaxwell,blue
quaquaval,blue
lechonk,gray
oinkologne-male,gray
oinkologne-female,brown
tarountula,white
spidops,green
nymble,gray
lokix,gray
pawmi,yellow
pawmo,yellow
pawmot,yellow
tandemaus,white
maushold-family-of-4,white
maushold-family-of-3,white
fidough,yellow
dachsbun,brown
smoliv,green
dolliv,green
arboliva,green
squawkabilly-green,green
squawkabilly-blue,blue
squawkabilly-yellow,yellow
squawkabilly-white,white
nacli,brown
naclstack,brown
garganacl,brown
charcadet,red
armarouge,red
ceruledge,blue
tadbulb,yellow
bellibolt,green
wattrel,black
kilowattrel,yellow
maschiff,brown
mabosstiff,gray
shroodle,gray
grafaiai,gray
bramblin,brown
brambleghast,brown
toedscool,yellow
toedscruel,black
klawf,red
capsakid,green
scovillain,green
rellor,brown
rabsca,green
flittle,yellow
espathra,yellow
tinkatink,pink
tinkatuff,pink
tinkaton,pink
wiglett,white
wugtrio,red
bombirdier,white
finizen,blue
palafin-zero,blue
palafin-hero,blue
varoom,gray
revavroom,gray
cyclizar,green
orthworm,pink
glimmet,blue
glimmora,blue
greavard,white
houndstone,white
flamigo,pink
cetoddle,white
cetitan,white
veluza,gray
dondozo,blue
tatsugiri-curly,pink
tatsugiri-droopy,red
tatsugiri-stretchy,yellow
annihilape,gray
clodsire,brown
farigiraf,brown
dudunsparce-two-segment,yellow
dudunsparce-three-segment,yellow
kingambit,black
great-tusk,purple
scream-tail,pink
brute-bonnet,gray
flutter-mane,gray
slither-wing,red
sandy-shocks,gray
iron-treads,gray
iron-bundle,red
iron-hands,gray
iron-jugulis,blue
iron-moth,yellow
iron-thorns,green
frigibax,gray
arctibax,gray
baxcalibur,gray
gimmighoul-chest,brown
gimmighoul-roaming,blue
gholdengo,yellow
wo-chien,brown
chien-pao,white
ting-lu,brown
chi-yu,red
roaring-moon,green
iron-valiant,white
koraidon,red
miraidon,blue
