id,identifier,pokemon_id,step_id,evolved_species_id,evolution_chain_id,is_split,evolution_trigger_id,regional,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,known_move_type_id,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species_id,party_type_id,trade_species_id,needs_overworld_rain,turn_upside_down
39,clefable,36,2,36,14,0,3.0,,81.0,,,,,,,,,,,,,,,0.0,0.0
40,vulpix,37,0,37,15,0,,,,,,,,,,,,,,,,,,,
41,ninetales,38,1,38,15,0,3.0,,82.0,,,,,,,,,,,,,,,0.0,0.0
42,igglybuff,174,0,174,16,0,,,,,,,,,,,,,,,,,,,
43,jigglypuff,39,1,39,16,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
44,wigglytuff,40,2,40,16,0,3.0,,81.0,,,,,,,,,,,,,,,0.0,0.0
45,zubat,41,0,41,17,0,,,,,,,,,,,,,,,,,,,
46,golbat,42,1,42,17,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
47,crobat,169,2,169,17,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
48,oddish,43,0,43,18,0,,,,,,,,,,,,,,,,,,,
49,gloom,44,1,44,18,0,1.0,,,21.0,,,,,,,,,,,,,,0.0,0.0
50,vileplume,45,2,45,18,1,3.0,,85.0,,,,,,,,,,,,,,,0.0,0.0
51,bellossom,182,2,182,18,1,3.0,,80.0,,,,,,,,,,,,,,,0.0,0.0
52,paras,46,0,46,19,0,,,,,,,,,,,,,,,,,,,
53,parasect,47,1,47,19,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
54,venonat,48,0,48,20,0,,,,,,,,,,,,,,,,,,,
55,venomoth,49,1,49,20,0,1.0,,,31.0,,,,,,,,,,,,,,0.0,0.0
56,diglett,50,0,50,21,0,,,,,,,,,,,,,,,,,,,
57,dugtrio,51,1,51,21,0,1.0,,,26.0,,,,,,,,,,,,,,0.0,0.0
58,meowth,52,0,52,22,0,,,,,,,,,,,,,,,,,,,
59,persian,53,1,53,22,1,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
60,psyduck,54,0,54,23,0,,,,,,,,,,,,,,,,,,,
61,golduck,55,1,55,23,0,1.0,,,33.0,,,,,,,,,,,,,,0.0,0.0
62,mankey,56,0,56,24,0,,,,,,,,,,,,,,,,,,,
63,primeape,57,1,57,24,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
64,annihilape,979,2,979,24,0,10.0,,,,,,,,,,,,,,,,,0.0,0.0
65,growlithe,58,0,58,25,0,,,,,,,,,,,,,,,,,,,
66,arcanine,59,1,59,25,0,3.0,,82.0,,,,,,,,,,,,,,,0.0,0.0
67,poliwag,60,0,60,26,0,,,,,,,,,,,,,,,,,,,
68,poliwhirl,61,1,61,26,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
69,poliwrath,62,2,62,26,1,3.0,,84.0,,,,,,,,,,,,,,,0.0,0.0
70,politoed,186,2,186,26,1,2.0,,,,,,198.0,,,,,,,,,,,0.0,0.0
71,abra,63,0,63,27,0,,,,,,,,,,,,,,,,,,,
72,kadabra,64,1,64,27,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
73,alakazam,65,2,65,27,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
74,machop,66,0,66,28,0,,,,,,,,,,,,,,,,,,,
75,machoke,67,1,67,28,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
76,machamp,68,2,68,28,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
77,bellsprout,69,0,69,29,0,,,,,,,,,,,,,,,,,,,
78,weepinbell,70,1,70,29,0,1.0,,,21.0,,,,,,,,,,,,,,0.0,0.0
79,victreebel,71,2,71,29,0,3.0,,85.0,,,,,,,,,,,,,,,0.0,0.0
80,tentacool,72,0,72,30,0,,,,,,,,,,,,,,,,,,,
81,tentacruel,73,1,73,30,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
82,geodude,74,0,74,31,0,,,,,,,,,,,,,,,,,,,
83,graveler,75,1,75,31,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
84,golem,76,2,76,31,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
85,ponyta,77,0,77,32,0,,,,,,,,,,,,,,,,,,,
86,rapidash,78,1,78,32,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
87,slowpoke,79,0,79,33,0,,,,,,,,,,,,,,,,,,,
88,slowbro,80,1,80,33,1,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
89,slowking,199,1,199,33,1,2.0,,,,,,198.0,,,,,,,,,,,0.0,0.0
90,magnemite,81,0,81,34,0,,,,,,,,,,,,,,,,,,,
91,magneton,82,1,82,34,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
92,magnezone,462,2,462,34,0,3.0,,83.0,,,,,,,,,,,,,,,0.0,0.0
93,farfetchd,83,0,83,35,0,,,,,,,,,,,,,,,,,,,
94,doduo,84,0,84,36,0,,,,,,,,,,,,,,,,,,,
95,dodrio,85,1,85,36,0,1.0,,,31.0,,,,,,,,,,,,,,0.0,0.0
96,seel,86,0,86,37,0,,,,,,,,,,,,,,,,,,,
97,dewgong,87,1,87,37,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
98,grimer,88,0,88,38,0,,,,,,,,,,,,,,,,,,,
99,muk,89,1,89,38,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
100,shellder,90,0,90,39,0,,,,,,,,,,,,,,,,,,,
101,cloyster,91,1,91,39,0,3.0,,84.0,,,,,,,,,,,,,,,0.0,0.0
102,gastly,92,0,92,40,0,,,,,,,,,,,,,,,,,,,
103,haunter,93,1,93,40,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
104,gengar,94,2,94,40,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
105,onix,95,0,95,41,0,,,,,,,,,,,,,,,,,,,
106,steelix,208,1,208,41,0,2.0,,,,,,210.0,,,,,,,,,,,0.0,0.0
107,drowzee,96,0,96,42,0,,,,,,,,,,,,,,,,,,,
108,hypno,97,1,97,42,0,1.0,,,26.0,,,,,,,,,,,,,,0.0,0.0
109,krabby,98,0,98,43,0,,,,,,,,,,,,,,,,,,,
110,kingler,99,1,99,43,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
111,voltorb,100,0,100,44,0,,,,,,,,,,,,,,,,,,,
112,electrode,101,1,101,44,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
113,exeggcute,102,0,102,45,0,,,,,,,,,,,,,,,,,,,
114,exeggutor,103,1,103,45,0,3.0,,85.0,,,,,,,,,,,,,,,0.0,0.0
115,exeggutor-alola,10114,1,103,45,0,3.0,alola,85.0,,,,,,,,,,,,,,,0.0,0.0
116,cubone,104,0,104,46,0,,,,,,,,,,,,,,,,,,,
117,marowak,105,1,105,46,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
118,marowak-alola,10115,1,105,46,0,1.0,alola,,28.0,,,,night,,,,,,,,,,0.0,0.0
119,tyrogue,236,0,236,47,0,,,,,,,,,,,,,,,,,,,
120,hitmonlee,106,1,106,47,1,1.0,,,20.0,,,,,,,,,,1.0,,,,0.0,0.0
121,hitmonchan,107,1,107,47,1,1.0,,,20.0,,,,,,,,,,-1.0,,,,0.0,0.0
122,hitmontop,237,1,237,47,1,1.0,,,20.0,,,,,,,,,,0.0,,,,0.0,0.0
123,lickitung,108,0,108,48,0,,,,,,,,,,,,,,,,,,,
124,lickilicky,463,1,463,48,0,1.0,,,,,,,,205.0,,,,,,,,,0.0,0.0
125,koffing,109,0,109,49,0,,,,,,,,,,,,,,,,,,,
126,weezing,110,1,110,49,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
127,weezing-galar,10167,1,110,49,0,1.0,galar,,35.0,,,,,,,,,,,,,,0.0,0.0
128,rhyhorn,111,0,111,50,0,,,,,,,,,,,,,,,,,,,
129,rhydon,112,1,112,50,0,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
130,rhyperior,464,2,464,50,0,2.0,,,,,,298.0,,,,,,,,,,,0.0,0.0
131,happiny,440,0,440,51,0,,,,,,,,,,,,,,,,,,,
132,chansey,113,1,113,51,0,1.0,,,,,,110.0,day,,,,,,,,,,0.0,0.0
133,blissey,242,2,242,51,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
134,tangela,114,0,114,52,0,,,,,,,,,,,,,,,,,,,
135,tangrowth,465,1,465,52,0,1.0,,,,,,,,246.0,,,,,,,,,0.0,0.0
136,kangaskhan,115,0,115,53,0,,,,,,,,,,,,,,,,,,,
137,horsea,116,0,116,54,0,,,,,,,,,,,,,,,,,,,
138,seadra,117,1,117,54,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
139,kingdra,230,2,230,54,0,2.0,,,,,,212.0,,,,,,,,,,,0.0,0.0
140,goldeen,118,0,118,55,0,,,,,,,,,,,,,,,,,,,
141,seaking,119,1,119,55,0,1.0,,,33.0,,,,,,,,,,,,,,0.0,0.0
142,staryu,120,0,120,56,0,,,,,,,,,,,,,,,,,,,
143,starmie,121,1,121,56,0,3.0,,84.0,,,,,,,,,,,,,,,0.0,0.0
144,mime-jr,439,0,439,57,0,,,,,,,,,,,,,,,,,,,
145,mr-mime,122,1,122,57,0,1.0,,,,,,,,102.0,,,,,,,,,0.0,0.0
146,scyther,123,0,123,58,0,,,,,,,,,,,,,,,,,,,
147,scizor,212,1,212,58,1,2.0,,,,,,210.0,,,,,,,,,,,0.0,0.0
148,kleavor,900,1,900,58,1,3.0,hisui,10001.0,,,,,,,,,,,,,,,0.0,0.0
149,smoochum,238,0,238,59,0,,,,,,,,,,,,,,,,,,,
150,jynx,124,1,124,59,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
151,elekid,239,0,239,60,0,,,,,,,,,,,,,,,,,,,
152,electabuzz,125,1,125,60,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
153,electivire,466,2,466,60,0,2.0,,,,,,299.0,,,,,,,,,,,0.0,0.0
154,magby,240,0,240,61,0,,,,,,,,,,,,,,,,,,,
155,magmar,126,1,126,61,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
156,magmortar,467,2,467,61,0,2.0,,,,,,300.0,,,,,,,,,,,0.0,0.0
157,pinsir,127,0,127,62,0,,,,,,,,,,,,,,,,,,,
158,tauros,128,0,128,63,0,,,,,,,,,,,,,,,,,,,
159,magikarp,129,0,129,64,0,,,,,,,,,,,,,,,,,,,
160,gyarados,130,1,130,64,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
161,lapras,131,0,131,65,0,,,,,,,,,,,,,,,,,,,
162,ditto,132,0,132,66,0,,,,,,,,,,,,,,,,,,,
163,eevee,133,0,133,67,0,,,,,,,,,,,,,,,,,,,
164,vaporeon,134,1,134,67,1,3.0,,84.0,,,,,,,,,,,,,,,0.0,0.0
165,jolteon,135,1,135,67,1,3.0,,83.0,,,,,,,,,,,,,,,0.0,0.0
166,flareon,136,1,136,67,1,3.0,,82.0,,,,,,,,,,,,,,,0.0,0.0
167,espeon,196,1,196,67,1,1.0,,,,,,,day,,,160.0,,,,,,,0.0,0.0
168,umbreon,197,1,197,67,1,1.0,,,,,,,night,,,160.0,,,,,,,0.0,0.0
169,leafeon,470,1,470,67,1,3.0,,85.0,,,,,,,,,,,,,,,0.0,0.0
170,glaceon,471,1,471,67,1,3.0,,885.0,,,,,,,,,,,,,,,0.0,0.0
171,sylveon,700,1,700,67,1,1.0,,,,,,,,,18.0,160.0,,,,,,,0.0,0.0
172,porygon,137,0,137,68,0,,,,,,,,,,,,,,,,,,,
173,porygon2,233,1,233,68,0,2.0,,,,,,229.0,,,,,,,,,,,0.0,0.0
174,porygon-z,474,2,474,68,0,2.0,,,,,,301.0,,,,,,,,,,,0.0,0.0
175,omanyte,138,0,138,69,0,,,,,,,,,,,,,,,,,,,
176,omastar,139,1,139,69,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
177,kabuto,140,0,140,70,0,,,,,,,,,,,,,,,,,,,
178,kabutops,141,1,141,70,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
179,aerodactyl,142,0,142,71,0,,,,,,,,,,,,,,,,,,,
180,munchlax,446,0,446,72,0,,,,,,,,,,,,,,,,,,,
181,snorlax,143,1,143,72,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
182,articuno,144,0,144,73,0,,,,,,,,,,,,,,,,,,,
183,zapdos,145,0,145,74,0,,,,,,,,,,,,,,,,,,,
184,moltres,146,0,146,75,0,,,,,,,,,,,,,,,,,,,
185,dratini,147,0,147,76,0,,,,,,,,,,,,,,,,,,,
186,dragonair,148,1,148,76,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
187,dragonite,149,2,149,76,0,1.0,,,55.0,,,,,,,,,,,,,,0.0,0.0
188,mewtwo,150,0,150,77,0,,,,,,,,,,,,,,,,,,,
189,mew,151,0,151,78,0,,,,,,,,,,,,,,,,,,,
190,chikorita,152,0,152,79,0,,,,,,,,,,,,,,,,,,,
191,bayleef,153,1,153,79,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
192,meganium,154,2,154,79,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
193,cyndaquil,155,0,155,80,0,,,,,,,,,,,,,,,,,,,
194,quilava,156,1,156,80,0,1.0,,,14.0,,,,,,,,,,,,,,0.0,0.0
195,typhlosion,157,2,157,80,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
196,typhlosion-hisui,10233,2,157,80,0,1.0,hisui,,36.0,,,,,,,,,,,,,,0.0,0.0
197,totodile,158,0,158,81,0,,,,,,,,,,,,,,,,,,,
198,croconaw,159,1,159,81,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
199,feraligatr,160,2,160,81,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
200,sentret,161,0,161,82,0,,,,,,,,,,,,,,,,,,,
201,furret,162,1,162,82,0,1.0,,,15.0,,,,,,,,,,,,,,0.0,0.0
202,hoothoot,163,0,163,83,0,,,,,,,,,,,,,,,,,,,
203,noctowl,164,1,164,83,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
204,ledyba,165,0,165,84,0,,,,,,,,,,,,,,,,,,,
205,ledian,166,1,166,84,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
206,spinarak,167,0,167,85,0,,,,,,,,,,,,,,,,,,,
207,ariados,168,1,168,85,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
208,chinchou,170,0,170,86,0,,,,,,,,,,,,,,,,,,,
209,lanturn,171,1,171,86,0,1.0,,,27.0,,,,,,,,,,,,,,0.0,0.0
210,togepi,175,0,175,87,0,,,,,,,,,,,,,,,,,,,
211,togetic,176,1,176,87,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
212,togekiss,468,2,468,87,0,3.0,,107.0,,,,,,,,,,,,,,,0.0,0.0
213,natu,177,0,177,88,0,,,,,,,,,,,,,,,,,,,
214,xatu,178,1,178,88,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
215,mareep,179,0,179,89,0,,,,,,,,,,,,,,,,,,,
216,flaaffy,180,1,180,89,0,1.0,,,15.0,,,,,,,,,,,,,,0.0,0.0
217,ampharos,181,2,181,89,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
218,azurill,298,0,298,90,0,,,,,,,,,,,,,,,,,,,
219,marill,183,1,183,90,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
220,azumarill,184,2,184,90,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
221,bonsly,438,0,438,91,0,,,,,,,,,,,,,,,,,,,
222,sudowoodo,185,1,185,91,0,1.0,,,,,,,,102.0,,,,,,,,,0.0,0.0
223,hoppip,187,0,187,92,0,,,,,,,,,,,,,,,,,,,
224,skiploom,188,1,188,92,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
225,jumpluff,189,2,189,92,0,1.0,,,27.0,,,,,,,,,,,,,,0.0,0.0
226,aipom,190,0,190,93,0,,,,,,,,,,,,,,,,,,,
227,ambipom,424,1,424,93,0,1.0,,,,,,,,458.0,,,,,,,,,0.0,0.0
228,sunkern,191,0,191,94,0,,,,,,,,,,,,,,,,,,,
229,sunflora,192,1,192,94,0,3.0,,80.0,,,,,,,,,,,,,,,0.0,0.0
230,yanma,193,0,193,95,0,,,,,,,,,,,,,,,,,,,
231,yanmega,469,1,469,95,0,1.0,,,,,,,,246.0,,,,,,,,,0.0,0.0
232,wooper,194,0,194,96,0,,,,,,,,,,,,,,,,,,,
233,quagsire,195,1,195,96,1,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
234,murkrow,198,0,198,97,0,,,,,,,,,,,,,,,,,,,
235,honchkrow,430,1,430,97,0,3.0,,108.0,,,,,,,,,,,,,,,0.0,0.0
236,misdreavus,200,0,200,98,0,,,,,,,,,,,,,,,,,,,
237,mismagius,429,1,429,98,0,3.0,,108.0,,,,,,,,,,,,,,,0.0,0.0
238,unown,201,0,201,99,0,,,,,,,,,,,,,,,,,,,
239,wynaut,360,0,360,100,0,,,,,,,,,,,,,,,,,,,
240,wobbuffet,202,1,202,100,0,1.0,,,15.0,,,,,,,,,,,,,,0.0,0.0
241,girafarig,203,0,203,101,0,,,,,,,,,,,,,,,,,,,
242,farigiraf,981,1,981,101,0,1.0,,,,,,,,888.0,,,,,,,,,0.0,0.0
243,pineco,204,0,204,102,0,,,,,,,,,,,,,,,,,,,
244,forretress,205,1,205,102,0,1.0,,,31.0,,,,,,,,,,,,,,0.0,0.0
245,dunsparce,206,0,206,103,0,,,,,,,,,,,,,,,,,,,
246,dudunsparce-two-segment,982,1,982,103,0,1.0,,,,,,,,887.0,,,,,,,,,0.0,0.0
247,dudunsparce-three-segment,10255,1,982,103,0,1.0,,,,,,,,887.0,,,,,,,,,0.0,0.0
248,gligar,207,0,207,104,0,,,,,,,,,,,,,,,,,,,
249,gliscor,472,1,472,104,0,1.0,,,,,,304.0,night,,,,,,,,,,0.0,0.0
250,snubbull,209,0,209,105,0,,,,,,,,,,,,,,,,,,,
251,granbull,210,1,210,105,0,1.0,,,23.0,,,,,,,,,,,,,,0.0,0.0
252,qwilfish,211,0,211,106,0,,,,,,,,,,,,,,,,,,,
253,shuckle,213,0,213,107,0,,,,,,,,,,,,,,,,,,,
254,heracross,214,0,214,108,0,,,,,,,,,,,,,,,,,,,
255,sneasel,215,0,215,109,0,,,,,,,,,,,,,,,,,,,
256,weavile,461,1,461,109,1,1.0,,,,,,303.0,night,,,,,,,,,,0.0,0.0
257,teddiursa,216,0,216,110,0,,,,,,,,,,,,,,,,,,,
258,ursaring,217,1,217,110,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
259,ursaluna,901,2,901,110,0,3.0,hisui,10002.0,,,,,full-moon,,,,,,,,,,0.0,0.0
260,ursaluna-bloodmoon,10272,2,901,110,0,3.0,paldea,10002.0,,,,,full-moon,,,,,,,,,,0.0,0.0
261,slugma,218,0,218,111,0,,,,,,,,,,,,,,,,,,,
262,magcargo,219,1,219,111,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
263,swinub,220,0,220,112,0,,,,,,,,,,,,,,,,,,,
264,piloswine,221,1,221,112,0,1.0,,,33.0,,,,,,,,,,,,,,0.0,0.0
265,mamoswine,473,2,473,112,0,1.0,,,,,,,,246.0,,,,,,,,,0.0,0.0
266,corsola,222,0,222,113,0,,,,,,,,,,,,,,,,,,,
267,remoraid,223,0,223,114,0,,,,,,,,,,,,,,,,,,,
268,octillery,224,1,224,114,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
269,delibird,225,0,225,115,0,,,,,,,,,,,,,,,,,,,
270,mantyke,458,0,458,116,0,,,,,,,,,,,,,,,,,,,
271,mantine,226,1,226,116,0,1.0,,,,,,,,,,,,,,223.0,,,0.0,0.0
272,skarmory,227,0,227,117,0,,,,,,,,,,,,,,,,,,,
273,houndour,228,0,228,118,0,,,,,,,,,,,,,,,,,,,
274,houndoom,229,1,229,118,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
275,phanpy,231,0,231,119,0,,,,,,,,,,,,,,,,,,,
276,donphan,232,1,232,119,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
277,stantler,234,0,234,120,0,,,,,,,,,,,,,,,,,,,
278,wyrdeer,899,1,899,120,0,11.0,hisui,,,,,,,828.0,,,,,,,,,0.0,0.0
279,smeargle,235,0,235,121,0,,,,,,,,,,,,,,,,,,,
280,miltank,241,0,241,122,0,,,,,,,,,,,,,,,,,,,
281,raikou,243,0,243,123,0,,,,,,,,,,,,,,,,,,,
282,entei,244,0,244,124,0,,,,,,,,,,,,,,,,,,,
283,suicune,245,0,245,125,0,,,,,,,,,,,,,,,,,,,
284,larvitar,246,0,246,126,0,,,,,,,,,,,,,,,,,,,
285,pupitar,247,1,247,126,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
286,tyranitar,248,2,248,126,0,1.0,,,55.0,,,,,,,,,,,,,,0.0,0.0
287,lugia,249,0,249,127,0,,,,,,,,,,,,,,,,,,,
288,ho-oh,250,0,250,128,0,,,,,,,,,,,,,,,,,,,
289,celebi,251,0,251,129,0,,,,,,,,,,,,,,,,,,,
290,treecko,252,0,252,130,0,,,,,,,,,,,,,,,,,,,
291,grovyle,253,1,253,130,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
292,sceptile,254,2,254,130,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
293,torchic,255,0,255,131,0,,,,,,,,,,,,,,,,,,,
294,combusken,256,1,256,131,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
295,blaziken,257,2,257,131,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
296,mudkip,258,0,258,132,0,,,,,,,,,,,,,,,,,,,
297,marshtomp,259,1,259,132,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
298,swampert,260,2,260,132,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
299,poochyena,261,0,261,133,0,,,,,,,,,,,,,,,,,,,
300,mightyena,262,1,262,133,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
301,zigzagoon,263,0,263,134,0,,,,,,,,,,,,,,,,,,,
302,linoone,264,1,264,134,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
303,wurmple,265,0,265,135,0,,,,,,,,,,,,,,,,,,,
304,silcoon,266,1,266,135,1,1.0,,,7.0,,,,,,,,,,,,,,0.0,0.0
305,cascoon,268,1,268,135,1,1.0,,,7.0,,,,,,,,,,,,,,0.0,0.0
306,beautifly,267,2,267,135,0,1.0,,,10.0,,,,,,,,,,,,,,0.0,0.0
307,dustox,269,2,269,135,0,1.0,,,10.0,,,,,,,,,,,,,,0.0,0.0
308,lotad,270,0,270,136,0,,,,,,,,,,,,,,,,,,,
309,lombre,271,1,271,136,0,1.0,,,14.0,,,,,,,,,,,,,,0.0,0.0
310,ludicolo,272,2,272,136,0,3.0,,84.0,,,,,,,,,,,,,,,0.0,0.0
311,seedot,273,0,273,137,0,,,,,,,,,,,,,,,,,,,
312,nuzleaf,274,1,274,137,0,1.0,,,14.0,,,,,,,,,,,,,,0.0,0.0
313,shiftry,275,2,275,137,0,3.0,,85.0,,,,,,,,,,,,,,,0.0,0.0
314,taillow,276,0,276,138,0,,,,,,,,,,,,,,,,,,,
315,swellow,277,1,277,138,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
316,wingull,278,0,278,139,0,,,,,,,,,,,,,,,,,,,
317,pelipper,279,1,279,139,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
318,ralts,280,0,280,140,0,,,,,,,,,,,,,,,,,,,
319,kirlia,281,1,281,140,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
